Ticker,Security,Start Date,End Date,Period,Period 2,Currency,DATE 1,Best Div Yld,Best_EV,CUR_MKT_CAP,YEARLY DATA,NET_DEBT,BEST_EPS,BEST_EBITDA
AIZ,AIZ US Equity,44631,44631,D,Q,USD,44631,1.621,#N/A N/A,9374.7188,44561,179.1,2.877,#N/A N/A
T,T US Equity,44631,44631,D,Q,USD,44631,7.775,341692.298,165643.6827,44561,182493,0.793,12904.455
ATO,ATO US Equity,44631,44631,D,Q,USD,44631,2.44,23088.067,15404.0672,44561,7745.422,2.327,573
ADSK,ADSK US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,43018.088,42303.0878,44561,1250.5,1.472,412.333
AZO,AZO US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,43519.888,38474.6884,44561,6643.196,24.497,807.75
AVB,AVB US Equity,44631,44631,D,Q,USD,44631,2.755,41447.078,33697.1194,44561,7849.793,0.974,369.417
AVY,AVY US Equity,44631,44631,D,Q,USD,44631,1.729,16316.192,13372.859,44561,3124.6,2.421,365.375
BKR,BKR US Equity,44631,44631,D,Q,USD,44631,1.913,43585.277,38674.0043,44561,3694,0.219,664.8
BLL,BLL US Equity,44631,44631,D,Q,USD,44631,0.998,35511.093,27507.293,44561,7596,0.861,546.929
BAC,BAC US Equity,44631,44631,D,Q,USD,44631,2.222,#N/A N/A,325255.5961,44561,1662,0.769,#N/A N/A
BBWI,BBWI US Equity,44631,44631,D,Q,USD,44631,1.709,15937.01,12064.0104,44561,4033.594,0.61,338.333
BAX,BAX US Equity,44631,44631,D,Q,USD,44631,1.496,40947.765,38601.265,44561,15359,0.883,746
BDX,BDX US Equity,44631,44631,D,Q,USD,44631,1.497,86387.087,72477.0868,44561,15513,2.924,1310.6
WRB,WRB US Equity,44631,44631,D,Q,USD,44631,1.429,#N/A N/A,16689.0623,44561,1961.759,1.319,#N/A N/A
